,名詞,數量
1231,凱薩琳伍德,1
1232, Cathie Wood,1
1233, 莫德納,1
1234, ARK,1
1235, ARKK,1
1236, ARKF,1
1237, Roblox,1
1238, Caroline Wood,1
1239, Wikimedia Commons,1
1240, 日經225指數,1
1241, 東證股價指數,1
1242, TOPIX,1
1243, 熊市,1
1244, 熔斷機制,1
1245, Circuit Breaker,1
1246, 美元,1
1247, 英偉達,1
1248, GB200,1
1249, Pixel 8,1
1250, Pixel 8 Pro,1
1251, Pixel 9 Pro,1
1252, Pixel 9 Pro XL,1
1253, Pixel 9 Pro Fold,1
1254, 9to5Google,1
1255, Galaxy S24 Ultra,1
1256, Charlie McElligott,1
1257, 野村證券,1
1258, ISM製造業指數,1
1259, 薩姆規則,1
1260, Sahm rule,1
1261, José Torres,1
1262, Interactive Brokers,1
1263, CNN恐懼貪婪指數,1
1264, CNN Fear & Greed Index,1
1265, 高效能運算,1
1266, 崇越科技,1
1267, 潘重良,1
1268, 熊本,1
1269, 德州,1
1270, M2 iPad Pro,1
1271, AppleLeaker,1
1272, Galaxy AI,1
1273, Apple Watch SE,1
1274, Apple Watch Series 9,1
1275, 埃克森美孚,1
1276, Exxon Mobil,1
1277, 先鋒自然資源,1
1278, Pioneer Natural Resources,1
1279, 蓋亞那,1
1280, Guyana,1
1281, 二疊紀盆地,1
1282, Permian Basin,1
1283, Investopedia,1
1284, NYMEX,1
1285, ICE Futures Europe,1
1286, 淡江大學,1
1287, Polaris,1
1288, RNX,1
1289, OLEDoS,1
1290, LCD,1
1291, VR,1
1292, MR,1
1293, AR,1
1294, Vision Pro,1
1295, 視涯,1
1296, 信邦,1
1297, 順達,1
1298, 創意,1
1299, 智邦,1
1300, 泰鼎-KY,1
1301, Vivo X200,1
1302, ARM BlackHawk CPU,1
1303, Snapdragon 8 Gen 3,1
